time_s,pH
789.66,7.6913
790.4,7.693
791.74,7.6913
792.49,7.693
793.8,7.693
795.86,7.693
797.9,7.6913
798.67,7.6913
799.67,7.6913
801.92,7.6966
803.95,7.6966
805.97,7.6913
806.72,7.6913
807.72,7.6948
809.95,7.6948
811.96,7.6948
812.72,7.6966
814.95,7.6966
815.72,7.6948
816.73,7.6966
817.73,7.6966
819.97,7.6966
820.75,7.6966
821.76,7.6948
824.04,7.6966
824.74,7.6913
826.07,7.693
828.1,7.6913
830.15,7.6913
832.22,7.6913
833.01,7.6913
834.01,7.6948
836.25,7.6948
838.28,7.6948
840.34,7.6966
841.11,7.6913
842.39,7.6948
843.18,7.6948
844.21,7.6948
846.46,7.6983
848.5,7.6948
849.3,7.6948
850.3,7.6948
852.55,7.6948
853.35,7.6966
854.35,7.6948
856.63,7.6948
857.36,7.7001
858.69,7.6948
859.48,7.6948
860.48,7.7001
862.71,7.6948
864.76,7.6966
865.57,7.6948
866.57,7.6948
868.85,7.6966
870.88,7.6948
872.91,7.6948
874.93,7.6983
876.98,7.6948
879.06,7.6983
879.77,7.6983
881.08,7.7001
883.1,7.7001
883.83,7.7001
885.18,7.7001
887.23,7.6983
888.01,7.6983
889.01,7.6983
891.28,7.6983
893.35,7.6983
895.42,7.7001
897.49,7.7001
898.25,7.7036
899.54,7.7001
900.33,7.6983
901.59,7.6983
902.39,7.6983
903.39,7.7001
905.64,7.7018
907.7,7.6983
908.47,7.7001
909.47,7.7036
910.47,7.6983
912.72,7.6983
913.49,7.6983
914.49,7.7036
916.79,7.7036
917.57,7.7036
918.57,7.7036
920.81,7.7001
922.82,7.6983
924.85,7.7001
926.9,7.6983
928.92,7.6983
929.68,7.6983
930.68,7.7019
932.93,7.7019
934.94,7.6984
936.97,7.7037
938.97,7.7037
939.73,7.7037
940.73,7.7037
943.0,7.7037
945.05,7.7019
945.82,7.7019
947.1,7.7072
947.82,7.7037
949.17,7.7002
951.22,7.7019
952.02,7.7037
953.32,7.7037
955.4,7.7037
956.12,7.7072
957.48,7.7072
958.22,7.7019
959.28,7.7073
961.52,7.702
963.55,7.7037
964.34,7.702
965.34,7.7037
967.63,7.702
969.68,7.702
971.72,7.7037
973.79,7.7055
975.82,7.7055
976.59,7.7055
977.6,7.7073
978.6,7.702
980.82,7.702
982.87,7.7055
984.91,7.7073
985.67,7.7073
986.67,7.7055
988.93,7.7055
990.98,7.7055
991.76,7.7073
992.77,7.7055
993.77,7.7055
996.01,7.7073
998.05,7.7108
1000.15,7.7108
1002.2,7.7073
1004.27,7.709
1005.05,7.7108
1006.34,7.7073
1008.44,7.7108
1009.17,7.7108
1010.49,7.7108
1012.53,7.7055
1013.32,7.7108
1014.32,7.709
1016.62,7.709
1017.34,7.709
1018.71,7.7108
1020.76,7.7108
1022.8,7.7108
